canonical_smiles,standard_value
Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,1200.0
C#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1,27200.0
N[C@H](COc1cnc(Cl)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,37000.0
CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3Cl)cn12,10000.0
CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,10000.0
CC(C)(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,10000.0
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,10000.0
CC(C)(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12,10000.0
CC(C)c1nnc2ccc(-c3c[nH]nc3-c3cc(F)ccc3F)cn12,10000.0
CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,10000.0
C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,1000.0
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,10000.0
C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,500000.0
O=C1NCCc2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)c3)cc21,3440.0
O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21,4600.0
NC(=O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1,25000.0
COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,5000.0
COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,10000.0
O=C(NCc1ccncc1)c1ccc2c(c1)Cc1c(-c3ccc(-c4ccc(O)cc4)cc3)n[nH]c1-2,50000.0
